"Day","Time","Attraction"
"12-13","22:20","TLV → DXB"
"12-13","03:25 +1","Connection in DXB"
"12-13","08:20","DXB → HND"
"12-13","22:30","הגעה לטוקיו"
"14","08:00 - 08:45","הפקדת מזוודות במלון"
"14","09:00 - 10:00","Tokyo Metropolitan Government Building"
"14","10:15 - 11:30","Shinjuku Gyoen"
"14","12:00 - 13:00","RAMEN - ארוחת צהריים"
"14","13:15 - 14:30","Odakyu Romancecar להאקונה"
"14","15:00 - 22:00","Aura Tachibana - ריוקן בהאקונה"
"15","09:00 - 10:00","Lake Ashi"
"15","10:00 - 10:35","Hakone Pirate Ship"
"15","10:50 - 11:20","Hakone Ropeway"
"15","11:30 - 13:00","Owakudani"
"15","13:00 - 14:00","ארוחת צהריים"
"15","13:30 - 16:00","Hakone Open-Air Museum"
"15","16:00 - 22:00","חזרה למלון ואונסן"
"16","09:00 - 10:00","Chureito Pagoda"
"16","10:30 - 12:00","Oshino Hakkai"
"16","12:15 - 13:15","Lake Kawaguchi – מסדרון המייפל"
"16","13:15 - 14:15","ארוחת צהריים"
"16","14:30 - 16:20","נסיעה לנגויה"
"16","16:30 - 17:00","צ'ק-אין במלון"
"16","17:30 - 22:00","ערב חופשי בסאקאע"
"17","08:20 - 11:30","Toyota Kaikan Museum"
"17","12:00 - 13:00","שינקנסן לקיוטו"
"17","13:00 - 13:40","ארוחת צהריים – Kyoto Station"
"17","13:45 - 14:00","🚶 הליכה: Kyoto Station → To-ji Temple"
"17","14:00 - 15:15","To-ji Temple (東寺)"
"17","15:15 - 15:45","🚕 מעבר מ-To-ji אל Nishiki Market"
"17","15:45 - 16:45","Nishiki Market (錦市場)"
"17","16:45 - 18:15","Teramachi & Shinkyogoku Arcade"
"17","18:15","צ'ק-אין – Hotel Monterey Kyoto"
"17","19:30 - 21:00","Pontocho Alley – ארוחת ערב"
"17","21:00 - 21:30","חזרה למלון"
"18","08:30 - 09:00","יציאה עצמאית ל־Fushimi Inari Taisha"
"18","09:00 - 09:50","Fushimi Inari Taisha"
"18","09:50 - 10:30","מעבר ל־Arashiyama Bamboo Grove"
"18","10:30 - 11:15","פגישה עם המדריכה + Arashiyama Bamboo Grove"
"18","11:15 - 11:45","Togetsukyo Bridge + רחובות ישנים"
"18","11:45 - 12:30","Tenryu-ji Temple"
"18","12:30 - 13:30","ארוחת צהריים"
"18","13:30 - 13:50","🚕 מעבר מ-Arashiyama אל Kinkaku-ji"
"18","13:50 - 14:35","Kinkaku-ji (הפביליון הזהוב)"
"18","14:35 - 14:50","🚶 מעבר מ-Kinkaku-ji אל Ryoan-ji"
"18","14:50 - 15:35","Ryoan-ji Temple"
"18","15:35 - 16:00","🚕 מעבר מ-Ryoan-ji אל Nijo Castle"
"18","16:00 - 17:45","Nijo Castle (טירת ניג׳ו)"
"18","17:45 - 18:00","🚕 מעבר מ-Nijo Castle אל Gion"
"18","18:00 - 20:00","רובע גיון"
"19","08:00 - 08:45","ארוחת בוקר במלון"
"19","08:45 - 09:00","מונית ל-Okamoto Kiyomizu"
"19","09:00 - 10:15","השכרת קימונו והתארגנות"
"19","10:15 - 11:15","Kiyomizu-dera"
"19","11:15 - 11:45","Sannenzaka"
"19","11:45 - 12:15","Ninenzaka"
"19","12:15 - 12:45","Yasaka Pagoda (Hōkan-ji)"
"19","12:45 - 13:15","סמטאות Higashiyama"
"19","13:15 - 13:45","החזרת קימונו"
"19","13:45 - 14:45","ארוחת צהריים"
"19","14:45 - 15:00","מונית ל-Nanzen-ji"
"19","15:00 - 16:00","Nanzen-ji"
"19","16:00 - 17:15","Eikandō Temple (永観堂)"
"19","17:15 - 18:00","Philosopher's Path"
"19","18:00 - 18:20","מונית למלון"
"19","19:15 - 20:15","Pontocho Alley"
"19","20:15~","קוקטיילים / בילוי חופשי"
"20","07:50","יציאה מ-Hotel Monterey Kyoto"
"20","08:00 - 08:15","Karasuma Oike → Kyoto Station"
"20","08:15 - 08:55","Kyoto Station → Nara Station"
"20","09:00 - 10:00","Todai-ji (מקדש טודאי-ג'י)"
"20","10:00 - 11:30","Nara Park (פארק נארה)"
"20","11:30 - 13:00","Kasuga Taisha (קסוגה טאישה)"
"20","13:00 - 14:00","ארוחת צהריים"
"20","14:00 - 15:00","Kofuku-ji (מקדש קופוקו-ג'י)"
"20","15:00 - 16:00","Naramachi (ならまち)"
"20","16:00 - 16:15","הליכה לתחנת Nara"
"20","16:15 - 17:00","Nara → Kyoto Station"
"20","17:00 - 17:15","Kyoto Station → Hotel Monterey Kyoto"
"20","17:15 - 19:00","מנוחה במלון / התארגנות"
"20","19:00 - 19:30","Kiyamachi & Pontocho"
"20","19:30 - 20:30","ארוחת ערב אחרונה בקיוטו"
"20","20:30~","חזרה למלון"
"21","07:30 - 08:30","ארוחת בוקר במלון"
"21","08:30 - 08:45","הליכה ל־Nishiki Market"
"21","09:00 - 10:00","Nishiki Market (錦市場)"
"21","10:00 - 10:10","הליכה ל־Shijo Station"
"21","10:10 - 10:15","Shijo Station → Kyoto Station"
"21","10:30 - 10:45","Kyoto Station → Shin-Osaka"
"21","10:45 - 11:00","Shin-Osaka → Osaka Station / Umeda"
"21","11:15 - 12:30","Umeda Sky Building"
"21","12:30 - 13:30","Grand Green Osaka"
"21","13:30 - 14:15","Umeda / Osaka Station Area"
"21","14:15 - 15:00","ארוחת צהריים יפנית עממית"
"21","15:00 - 15:15","Umeda → Namba"
"21","15:15 - 16:30","Namba Parks"
"21","16:30 - 18:00","Shinsaibashi + Amerikamura"
"21","18:00 - 18:15","Shinsaibashi → Honmachi"
"21","18:15 - 19:00","צ׳ק-אין ב־Osaka Excel Hotel Tokyu"
"22","08:15 - 08:40","נסיעה ל-Osaka Castle"
"22","09:15 - 11:00","Osaka Castle"
"22","11:00 - 11:30","מעבר ל-Kuromon Market"
"22","11:30 - 12:50","Kuromon Market"
"22","13:00 - 14:00","ארוחת צהריים"
"22","14:00 - 15:00","Shinsekai"
"22","15:00 - 15:20","מעבר ל-Namba Yasaka Shrine"
"22","15:20 - 15:45","Namba Yasaka Shrine"
"22","15:45 - 16:10","Hozenji Yokocho"
"22","16:10 - 17:30","Dotonbori"
"22","17:30 - 17:50","Tombori River Cruise"
"23","09:15 - 10:00","נסיעה ל-Kaiyukan"
"23","10:00 - 12:15","Osaka Aquarium Kaiyukan"
"23","12:15 - 13:05","Tempozan Marketplace + צהריים"
"23","13:05 - 13:40","מעבר לשינסאיבאשי"
"23","13:40 - 15:00","Shinsaibashi Shopping"
"23","15:00 - 15:35","מעבר ל-Sumiyoshi Taisha"
"23","15:35 - 16:20","Sumiyoshi Taisha"
"23","16:20 - 17:25","Nagai Park"
"23","18:00 - 19:45","TeamLab Botanical Garden Osaka"
"23","20:15 - 21:15","Abeno Harukas 300"
"23","21:15~","חזרה למלון / ארוחת ערב"
"24","09:30","יציאה מהמלון באוסקה"
"24","09:30 - 11:00","נסיעה לתחנת Shin-Osaka ועלייה לרכבת"
"24","11:00 - 13:30","Shinkansen Nozomi לטוקיו"
"24","13:30 - 14:30","הגעה למלון remm PLUS Ginza וצ'ק-אין"
"24","14:30 - 15:30","Uobei Ginza – ארוחת צהריים"
"24","15:30 - 16:00","Ginza Six Rooftop Garden"
"24","16:05 - 16:25","Nissan Crossing"
"24","16:25 - 17:00","חזרה למלון למנוחה קצרה"
"24","17:40 - 19:00","Omoide Yokocho"
"24","19:00 - 20:00","Golden Gai"
"24","20:00 - 22:30","Kabukicho"
"24","22:30","חזרה למלון"
"25","09:00","Meiji Shrine"
"25","10:30","Takeshita Street + Omotesando"
"25","17:00","Shibuya Sky"
"26","09:00","Tsukiji Outer Market"
"26","11:00","teamLab Borderless"
"26","14:30","Miraikan + Ginza"
"27","09:00","Senso-ji + Nakamise-dori"
"27","12:00","Akihabara"
"27","16:30","Tokyo Skytree"
"28","22:20","NRT → DXB"
"28","05:30 +1","Connection in DXB"
"28","10:55 +1","DXB → TLV"
"28","12:45 +1","נחיתה בתל אביב"
