Date,City/Area,Time,Attraction / Event,Type,Hotel
12-13.11,Tokyo (Flight),22:20,TLV → DXB (EK2168/FZ1842),Flight,Hotel Gracery Shinjuku
12-13.11,Dubai (Transit),03:25+1,Connection in Dubai,Transit,Hotel Gracery Shinjuku
12-13.11,Tokyo (Flight),08:20,DXB → HND (EK312),Flight,Hotel Gracery Shinjuku
12-13.11,Tokyo,22:30,Arrival at Tokyo (Haneda),Arrival,Hotel Gracery Shinjuku
14.11,Tokyo → Hakone,08:00-08:45,Luggage deposit at hotel,Logistics,Aura Tachibana
14.11,Tokyo,09:00-10:00,Tokyo Metropolitan Gov. Building,Viewpoint,Aura Tachibana
14.11,Tokyo,10:15-11:30,Shinjuku Gyoen,Park/Garden,Aura Tachibana
14.11,Tokyo,12:00-13:00,Ramen lunch,Food,Aura Tachibana
14.11,Tokyo → Hakone,13:15-14:30,Odakyu Romancecar to Hakone,Transit,Aura Tachibana
14.11,Hakone,15:00-22:00,Aura Tachibana Ryokan,Hotel/Onsen,Aura Tachibana
15.11,Hakone,09:00-10:00,Lake Ashi,Nature/Lake,Aura Tachibana
15.11,Hakone,10:00-10:35,Hakone Pirate Ship,Cruise,Aura Tachibana
15.11,Hakone,10:50-11:20,Hakone Ropeway,Ropeway,Aura Tachibana
15.11,Hakone,11:30-13:00,Owakudani,Volcanic Valley,Aura Tachibana
15.11,Hakone,13:00-14:00,Lunch,Food,Aura Tachibana
15.11,Hakone,13:30-16:00,Hakone Open-Air Museum,Museum,Aura Tachibana
15.11,Hakone,16:00-22:00,Return to hotel & Onsen,Hotel/Onsen,Aura Tachibana
16.11,Mt Fuji → Nagoya,09:00-10:00,Chureito Pagoda,Pagoda/Viewpoint,Nagoya JR Gate Tower Hotel
16.11,Mt Fuji,10:30-12:00,Oshino Hakkai,Traditional Village,Nagoya JR Gate Tower Hotel
16.11,Mt Fuji,12:15-13:15,Lake Kawaguchi (Maple Corridor),Nature,Nagoya JR Gate Tower Hotel
16.11,Mt Fuji,13:15-14:15,Lunch,Food,Nagoya JR Gate Tower Hotel
16.11,Nagoya,14:30-16:20,Bus + Shinkansen to Nagoya,Transit,Nagoya JR Gate Tower Hotel
16.11,Nagoya,16:30-17:00,Hotel check-in,Hotel,Nagoya JR Gate Tower Hotel
16.11,Nagoya,17:30-22:00,Evening in Sakae,Shopping/Evening,Nagoya JR Gate Tower Hotel
